scenario_id,type,title,phase,related_requirements,proof_surface,claim_boundary,expected_result,verification_method,owner,status,evidence_required
CS-CH-001,MUST_PASS,Register a connector-backed CornerStone capability,CH-0,ER-01;ER-02;IR-02;IR-03;IR-04;IR-09,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Scoped Setup Result is persisted with Source Policy warnings verification refs audit refs and no provider internals,Schema unit test plus CLI integration plus durable-state and secret scan,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-001.json
CS-CH-002,MUST_PASS,Required capability missing blocks activation,CH-0,IR-03;IR-08;IR-12,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Activation is blocked with stable reason code guidance no stream and no provider call,Invalid contract fixture plus activation negative test,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-002.json
CS-CH-003,MUST_PASS,Optional capability degrades gracefully,CH-0,IR-03;IR-16,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Ready-with-gaps state disables unavailable surfaces without blocking available capabilities,Setup fixture plus CLI degraded-mode contract test,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-003.json
CS-CH-004,MUST_PASS,Owner confirms or overrides Source Policy,CH-0,IR-04;IR-08;IR-17,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Immutable Source Policy snapshot is stored and audited without silent broadening,Policy normalization plus owner action test plus state diff,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-004.json
CS-CH-005,REGRESSION_GUARD,Swap providers without changing Product logic,CH-0,IR-02;IR-08;IR-15,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Provider swap changes setup/source refs only while product handlers stay unchanged,Provider-swap integration test,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-005.json
CS-CH-006,MUST_PASS,Explain credential and permission gaps without secrets,CH-0,IR-09;IR-12;ER-05,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Status explains cause impact and safe resolution without exposing secrets paths handles or raw responses,Error-shape tests plus CLI status contract plus secret scan,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-006.json
CS-CH-007,MUST_PASS,Convert a Projection into an immutable Artifact,CH-1,IR-04;IR-05;IR-06;IR-07,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Exact Projection envelope is preserved as scoped Artifact linked to policy evidence and audit refs,Fixture delivery integration test,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-007.json
CS-CH-008,MUST_PASS,Acknowledge only after durable archive commit,CH-1,IR-05;IR-07,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,No acknowledgement occurs before durable commit and redelivery creates one logical Artifact,Fault-injection integration test,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-008.json
CS-CH-009,MUST_PASS,Retry transient failures and quarantine poison deliveries,CH-1,IR-07;IR-17,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Bounded retry handles transient failures and poison deliveries enter quarantine safely,Retry clock and malformed payload tests,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-009.json
CS-CH-010,MUST_PASS,Deduplicate provider events and version changed content,CH-1,IR-05;IR-07,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Duplicates resolve to one logical record and changed content creates version lineage,Dedupe and changed-content fixture tests plus lineage query,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-010.json
CS-CH-011,MUST_PASS,Enforce field and body restrictions from Source Policy,CH-1,IR-08;IR-09,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Disallowed fields are rejected or stripped before durable Product state with policy evidence,Projection policy validator tests,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-011.json
CS-CH-012,MUST_PASS,Promote EvidenceRef metadata into an Evidence Bundle,CH-1,IR-06;IR-17,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Evidence Bundle includes Artifact Delivery Setup Result Source Policy EvidenceRef query and audit refs,Evidence assembly and claim creation tests,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-012.json
CS-CH-013,MUST_PASS,Temporary raw access is denied and tightly bounded,CH-1,IR-09;IR-11,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Default raw request is denied and any allowed grant is scoped expiring counted redacted and revocable,Denial TTL max-read and revocation tests,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-013.json
CS-CH-014,REGRESSION_GUARD,Untrusted connector content cannot direct agents or actions,CH-1,IR-10;IR-11;IR-18,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Connector content remains untrusted evidence and cannot trigger authority tool action memory promotion policy override or egress,Prompt-injection delivery review evidence-bundle claim agent memory and egress tests,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-014.json
CS-CH-015,MUST_PASS,Connect only explicitly selected GitHub repositories,CH-2,ER-06;IR-04;IR-08;IR-09,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Only selected repositories are visible and ingestible with no organization-wide fallback,Selected-resource GitHub fixture and zero-write checks,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-015.json
CS-CH-016,MUST_PASS,Ingest repository commit change issue and file-snapshot Projections,CH-2,ER-06;IR-05;IR-06;IR-07,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Read-only source-control Projection families map to durable CornerStone objects,Projection mapper fixtures,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-016.json
CS-CH-017,MUST_PASS,Incremental GitHub sync is idempotent,CH-2,ER-06;IR-07,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Cursor webhook and replay handling do not duplicate truth or skip changed content,Incremental sync and replay tests,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-017.json
CS-CH-018,MUST_PASS,Apply GitHub content restrictions and secret hygiene,CH-2,ER-06;IR-08;IR-09;IR-10,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Size path binary and secret policies are enforced before durable Product state,Policy and secret fixtures,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-018.json
CS-CH-019,MUST_PASS,Deny every GitHub write path,CH-2,ER-06;IR-09;IR-10;IR-11,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,GitHub Provider Pack has no write permissions Actions routes UI or runtime calls,Static and runtime zero-write guard,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-019.json
CS-CH-020,MUST_PASS,Handle GitHub rate limits revoked permissions and repository removal,CH-2,ER-06;IR-07;IR-08;IR-17,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Failures become stable states with recovery guidance and freshness metadata,Failure fixture and reconnect tests,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-020.json
CS-CH-021,MUST_PASS,macOS capture is off until explicit consent and permission,CH-3,ER-05;IR-14,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Capture remains off until user consent and platform permission are both present,Permission probe and consent tests,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-021.json
CS-CH-022,MUST_PASS,Turn activity samples into bounded sessions,CH-3,ER-05;IR-07;IR-14,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Activity samples become scoped sessions with idle noise and version metadata,Sessionization tests,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-022.json
CS-CH-023,MUST_PASS,Create an explicit owner-scoped Watch Rule,CH-3,ER-04;ER-05;IR-04;IR-14,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Watch Rule lifecycle is versioned scoped and auditable,Watch Rule CLI/runtime lifecycle tests plus durable-state audit; API/UI NOT_VERIFIED,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-023.json
CS-CH-024,MUST_PASS,Explicit Chrome active-tab capture,CH-3,ER-05;IR-10;IR-14,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Active-tab capture requires explicit action and bounded backend-validated payload,Chrome active-tab CLI/runtime fixture plus backend policy validation; manual browser proof HUMAN_REQUIRED,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-024.json
CS-CH-025,MUST_PASS,Allowlist-based Chrome auto capture with two-sided consent,CH-3,ER-05;IR-08;IR-14,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Auto capture requires user rule and site/source-pack allowance with diagnostics,Consent handshake tests plus Chrome auto-capture CLI/runtime fixture and backend policy validation; manual browser proof HUMAN_REQUIRED,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-025.json
CS-CH-026,MUST_PASS,Block or degrade sensitive page capture,CH-3,ER-05;IR-09;IR-10;IR-14,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Sensitive pages are blocked or degraded with safe reason guidance,Sensitive page policy tests plus Chrome sensitive-page CLI/runtime fixture and backend revalidation; manual browser proof HUMAN_REQUIRED,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-026.json
CS-CH-027,MUST_PASS,Pause revoke retain export and delete eligible capture state,CH-3,IR-04;IR-14;IR-17,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Capture lifecycle controls produce policy-aware state and audit evidence,Capture lifecycle CLI/runtime fixture plus retention export deletion and durable-state audit; API/UI and destructive-action Product approval UX NOT_VERIFIED,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-027.json
CS-CH-028,MUST_PASS,Separate observation inference and proposal,CH-3,ER-03;IR-06;IR-10;IR-14,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Watch Result separates observed facts inference caveats evidence and proposed action or memory,Watch Result CLI/runtime fixture plus correction denial review durable-state audit; rendered UI proof NOT_VERIFIED,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-028.json
CS-CH-029,MUST_PASS,Combine ActionCard dry-run with ConnectorHub preflight,CH-4,IR-11;IR-12;IR-18,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Combined review shows diff impact support permissions policy risk evidence and no side effect,Dry-run preflight integration test,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-029.json
