scenario_id,priority,phase,related_requirements,given,when,then,implementation_area,verification,evidence,pass_fail_criteria,owner,initial_status
"VS4-GATE-001","MUST_PASS","Contract freeze","CS-SEC-019; CS-REG-020; CS-CLI-002","VS4 contract and matrix are frozen.","Documentation verification runs.","Markdown and CSV exist, counts match 20/7/1, and every row has behavior, verification, evidence, pass/fail criteria, owner, and initial status.","Scenario contract; matrix; SoT registration","Source review, duplicate-ID check, row-count check, docs verifiers.","Contract path, matrix path, row-count output, scripts/verify_sot_docs.sh, git diff --check.","PASS only if contract and matrix are internally consistent and status-neutral; FAIL on duplicate IDs, missing criteria, count mismatch, or implementation PASS claim.","AI","NOT_RUN"
"VS4-UI-001","MUST_PASS","Product shell","CS-PROD-001; CS-PROD-004; CS-PROD-005; DS-S01","A user opens Product Alpha Home in local/dev mode.","The Home route loads.","Home shows Drop, Ask, Continue work, pending work, knowledge states, and recent activity without forcing admin or proof setup.","Home / Universal Workspace","Browser observation plus source review.","Browser screenshot or DOM, route/source refs, scenario report row.","PASS only if first view is product-first; FAIL if first value requires connector, ontology, model, policy, or scenario setup.","AI","NOT_RUN"
"VS4-UI-002","MUST_PASS","Drop / Ask","CS-ARCH-001; CS-UND-001; DS-S02","A user has messy input.","User drops, uploads, or pastes it.","Original input is preserved as Source / Artifact and UI confirms saved/searchable or partial/degraded status.","DropZone; artifact preservation","Browser flow plus API/state inspection.","Artifact/source record, checksum/provenance, UI proof, audit refs.","PASS only if original is preserved before generated output; FAIL if generated summary hides missing original preservation.","AI","NOT_RUN"
"VS4-UI-003","MUST_PASS","Brief","CS-CLAIM-002; CS-PROD-004","Dropped or pasted input completes first processing.","CornerStone creates or prepares first work item.","An Evidence-backed Brief is created or prepared as the central work item.","Brief product object","Browser flow plus state inspection.","Brief record/state, source refs, evidence refs, audit refs.","PASS only if Brief is a visible central product object; FAIL if user only sees raw search/proof output.","AI","NOT_RUN"
"VS4-UI-004","MUST_PASS","Brief","CS-CLAIM-002; CS-CLAIM-009","A user opens the Brief.","Brief detail renders.","Brief shows summary, supported findings, gaps/uncertainty, claim candidates, memory candidates, suggested actions, evidence, and activity.","Brief detail","Browser observation plus product object inspection.","Screenshot/DOM, Brief JSON/state, evidence linkage.","PASS only if supported findings and gaps are visible; FAIL on unsupported AI answer presented as fact.","AI","NOT_RUN"
"VS4-UI-005","MUST_PASS","Evidence","CS-CLAIM-008; CS-ARCH-009","A user sees evidence-linked finding in a Brief.","User opens evidence detail.","Evidence Drawer shows source, snippet, support rationale, provenance, related objects, activity, and audit detail.","Evidence Drawer","Browser observation plus evidence record inspection.","Evidence Drawer screenshot/DOM, evidence refs, provenance refs.","PASS only if evidence is one clear action away and resolves to source/provenance; FAIL if evidence is only decorative label.","AI","NOT_RUN"
"VS4-UI-006","MUST_PASS","Claim","CS-CLAIM-003; CS-CLAIM-005; CS-CLAIM-007","A Brief contains a supported finding.","User creates a Claim candidate.","Claim candidate carries statement, trust state, rationale, supporting evidence, gaps, related Brief, and activity.","Claim candidate/detail","Browser flow plus state inspection.","Claim record, evidence refs, trust state, audit refs.","PASS only if Claim candidate remains evidence-aware and scoped; FAIL if Claim loses evidence or trust state.","AI","NOT_RUN"
"VS4-UI-007","MUST_PASS","Claim","CS-CLAIM-006; CS-CLAIM-007; CS-REG-016","A Claim has no supporting evidence.","User attempts to approve it.","Approval is blocked or Claim remains Draft / Insufficient evidence with cause and resolution path.","Claim approval guard","Automated negative test plus UI check.","Denial response, unchanged claim state, UI cause/resolution text, audit ref.","PASS only if zero-evidence approval creates no approved claim; FAIL if unsupported claim becomes authority.","AI","NOT_RUN"
"VS4-UI-008","MUST_PASS","Memory","CS-MEM-003; CS-MEM-005; CS-MEM-011","A Brief or Claim suggests durable knowledge.","User creates or reviews Memory candidate.","Memory candidate is Draft / Needs Review with source, trust state, freshness, owner/workspace, and controls.","Memory candidate; Wiki","Browser flow plus state inspection.","Memory candidate record, UI proof, source/evidence refs, audit refs.","PASS only if Memory candidate is visible and reviewable; FAIL if durable memory is hidden.","AI","NOT_RUN"
"VS4-UI-009","MUST_PASS","Memory","CS-MEM-006; CS-MEM-012; CS-REG-005","A Memory candidate exists before approval.","System considers memory for future use.","It is not hidden durable truth and cannot be used as Approved memory until reviewed or approved.","Memory trust boundary","State inspection plus browser check.","Approved-memory absence before approval, approved-memory presence only after approval, audit refs.","PASS only if pre-approval memory does not become approved truth; FAIL on silent memory write or hidden profiling.","AI","NOT_RUN"
"VS4-UI-010","MUST_PASS","Action","CS-AUTO-007; DS-S07","A Brief or Claim suggests next action.","User opens Action Card.","Action Card shows goal, why, supporting evidence, impacted objects, proposed change, expected impact, risk, safety check, approval state, execution mode, and activity.","Action Card","Browser observation plus action state inspection.","Action Card screenshot/DOM, action JSON/state, policy decision refs, audit refs.","PASS only if user can understand action before approval; FAIL if action appears as magic automation.","AI","NOT_RUN"
"VS4-UI-011","MUST_PASS","Action","CS-AUTO-008; CS-AUTO-011; CS-SEC-002","A user reviews Action Card execution mode in local/dev mode.","Execution mode is displayed.","Execution mode is Draft / Local / Mock by default and no live external writeback is implied.","Action execution boundary","Browser observation plus state/negative-evidence inspection.","UI proof, action state, real_external_http_calls=0, audit refs.","PASS only if no live writeback is claimed or performed; FAIL on hidden or implied live external send.","AI","NOT_RUN"
"VS4-UI-012","MUST_PASS","Ops Inbox","CS-PROD-006; CS-PROD-007","A returning user has pending work.","User opens Home / Ops Inbox.","Ops Inbox shows pending briefs, evidence gaps, claims, memory candidates, action cards, approvals, and recent activity with Continue links.","Ops Inbox / Mission Control","Browser observation with fixture state.","Fixture state, screenshot/DOM, route refs.","PASS only if the product supports returning daily work; FAIL if only one-shot demo flow exists.","AI","NOT_RUN"
"VS4-UI-013","MUST_PASS","Ask","CS-CLAIM-001; CS-CLAIM-003; CS-MEM-015; CS-REG-001","User asks a question in AskBox.","CornerStone answers and offers structure.","Answer shows evidence/memory used and can become Brief, Claim, Memory candidate, or Action Card without becoming chatbot-only output.","Ask / Conversation Workbench","Browser flow plus state inspection.","Ask transcript, evidence/memory refs, created work item refs, audit refs.","PASS only if Ask can promote durable work with evidence; FAIL if it is generic chatbot output with no durable loop.","AI","NOT_RUN"
"VS4-UI-014","MUST_PASS","General-purpose packs","CS-PROD-003; CS-EXT-001; CS-REG-004","Three general-purpose fixture packs exist.","Each pack runs through VS4 UI loop.","Personal Research, Company Policy Review, and Operations Issue each produce Brief, Claim candidate, Memory candidate, Action Card draft, and Ops Inbox follow-up.","Fixture packs; domain generality","Browser/E2E fixture runs.","Fixture outputs, browser traces, scenario report rows.","PASS only if the same loop works across three non-logistics-only domains; FAIL if core requires logistics-specific concepts.","AI","NOT_RUN"
"VS4-UI-015","MUST_PASS","Workspace context","CS-NS-001; CS-NS-002; CS-NS-003","A user views or switches workspace context.","The active workspace is shown.","Active workspace/owner context is visible enough to understand which context CornerStone is using.","Workspace indicator; namespace scope","Browser observation plus state inspection.","Workspace UI proof, JSON/state scope, zero cross-workspace ambiguity.","PASS only if context is visible and scoped; FAIL if user cannot tell which workspace informs results/actions.","AI","NOT_RUN"
"VS4-UI-016","MUST_PASS","Product language","CS-PROD-010; CS-REG-019","A user scans normal-user VS4 UI.","Visible labels and copy are reviewed.","Product language appears before internal proof language; internal IDs/details are progressively disclosed.","Content and copy","Text scan plus browser review.","Copy scan output, browser screenshots/DOM, allowed internal-detail locations.","PASS only if normal user can work without scenario/verifier/engine jargon; FAIL if internal proof language dominates.","AI","NOT_RUN"
"VS4-STATE-001","MUST_PASS","Page states","DS-S01; DS-S05; DS-S07; DS-S10","Major VS4 pages are exercised across common states.","State assertions or stories run.","Empty, loading, ready, partial/degraded, needs-review, permission denied, policy blocked, failed-with-recovery, and audit/log available states are defined and observable or documented per page.","UI state coverage","Source review plus browser/story/state assertions.","State coverage matrix, screenshots/DOM or component/source refs.","PASS only if required states are covered for major pages; FAIL if failure or blocked states are absent or misleading.","AI","NOT_RUN"
"VS4-REF-001","MUST_PASS","Reference alignment","DS-S01; DS-S03; DS-S04","Home, Search, and Artifact surfaces are implemented or reviewed.","Design/source/browser review runs.","Surfaces follow reference direction for light calm shell, small nav, prominent search, original/source primacy, trust/evidence chips, and progressive evidence.","Home; Search; Artifact Viewer","Design/source/browser review.","Screenshot/DOM, source refs, reference mapping notes; no PASS from images alone.","PASS only if implementation behavior and UI align with references; FAIL if images are treated as implementation evidence.","AI","NOT_RUN"
"VS4-REF-002","MUST_PASS","Reference alignment","DS-S05; DS-S07; DS-S10","Claim and Action surfaces are implemented or reviewed.","Design/source/browser review runs.","Surfaces follow reference evidence/action patterns: trust ladder, evidence picker/drawer, dry-run, diff/impact, policy/risk, approval, execution mode, and activity/audit.","Claim; Action Card","Design/source/browser review.","Screenshot/DOM, source refs, reference mapping notes; no PASS from images alone.","PASS only if implementation behavior and UI align with references; FAIL if images are treated as implementation evidence.","AI","NOT_RUN"
"VS4-REG-001","REGRESSION_GUARD","Regression","VS0-UI-*; CS-REG-002; CS-REG-017","VS4 changes are applied.","Existing VS0 loop is rerun.","Existing VS0 Artifact -> Search -> Evidence -> Claim -> Action -> Audit loop still passes on the same tree.","VS0 regression gate","Existing VS0 verifier and browser/API proof rerun.","Scenario report, CLI transcript, browser/API evidence.","PASS only if fresh VS0 proof passes; FAIL on stale report reuse or broken VS0 loop.","AI","NOT_RUN"
"VS4-REG-002","REGRESSION_GUARD","Regression","VS1-ONT-*; CS-UND-006; CS-REG-016","VS4 changes are applied over accepted VS1 ontology slice.","Existing VS1 loop is rerun.","VS1 ontology suggest/review/promote still starts from evidence and keeps suggestions draft until explicit promotion.","VS1 regression gate","Existing VS1 verifier and browser/API proof rerun.","VS1 scenario report, zero auto-promotion evidence, audit refs.","PASS only if fresh VS1 proof passes; FAIL on forced modeling, auto-promotion, or evidence loss.","AI","NOT_RUN"
"VS4-REG-003","REGRESSION_GUARD","Overclaim","CS-SEC-011; CS-SEC-020; CS-REG-020","VS4 UI, reports, help, and README text are scanned.","Static overclaim scan and browser review run.","No production, on-prem, final security, real IdP, real network, live-provider, migration/restore, or human UX readiness claim appears unless explicitly historical/deferred.","Overclaim lint","Static overclaim scan plus browser review.","Text scan output, browser observations, negative evidence counters.","PASS only if forbidden readiness claims are absent or historical/deferred; FAIL on unqualified readiness claim.","AI","NOT_RUN"
"VS4-REG-004","REGRESSION_GUARD","Security","CS-ARCH-007; CS-SEC-007; CS-REG-013","Prompt-injection artifact or Ask input attempts to approve memory/action or create authority.","Security/adversarial fixture runs.","No memory approval, claim approval, action execution, egress, policy change, or authority expansion occurs from untrusted content.","Prompt-injection guard","Security/adversarial fixture plus audit/counter checks.","Zero unauthorized counters, blocked-attempt audit, untrusted label, evidence refs.","PASS only if untrusted content cannot create authority; FAIL on content-driven approval/action/egress.","AI","NOT_RUN"
"VS4-REG-005","REGRESSION_GUARD","Reference evidence boundary","CS-SEC-020; CS-REG-020","VS4 verification report cites visual references.","Report lint or source review runs.","Reference images are treated as visual inputs only, not implementation PASS, scenario PASS, or human UX acceptance evidence.","Reference image boundary","Report lint/source review.","Lint output or source refs showing images are design references only.","PASS only if image references are not used as PASS proof; FAIL if image existence marks a scenario passing.","AI","NOT_RUN"
"VS4-REG-006","REGRESSION_GUARD","Product-first UI","CS-PROD-001; CS-PROD-010; CS-REG-003; CS-REG-019","Normal user opens VS4 after admin, connector, policy, or ontology work exists.","Browser/nav review and text scan run.","Home remains product-first and not admin/connector/ontology/scenario-verifier-first.","Normal user nav; admin separation","Browser/nav review plus text scan.","Screenshots/DOM, nav map, absence of admin-first route.","PASS only if default experience remains Drop / Ask / Continue; FAIL if admin or internal substrate becomes first value.","AI","NOT_RUN"
"VS4-REG-007","REGRESSION_GUARD","CLI parity","CS-CLI-002; CS-CLI-003; CS-CLI-009","A VS4 feature appears in UI/API without CLI parity.","Scenario gate or parity review runs.","Scenario gate blocks PASS or marks feature NOT_VERIFIED until native CLI path and JSON transcript exist.","CLI parity gate","CLI parity matrix/report review.","CLI transcript refs, missing-command failure row, scenario report status.","PASS only if missing CLI parity blocks feature PASS; FAIL if UI/API-only feature is accepted.","AI","NOT_RUN"
"VS4-H01","HUMAN_REQUIRED","Human UX acceptance","CS-PROD-010; DS-S10","JiYong/Tars uses the VS4 Product Alpha UI flow.","Human walkthrough occurs.","Human accepts or rejects whether the daily loop is usable, understandable, product-first, evidence-aware, and not misleading.","Product-alpha UX","Human walkthrough.","Acceptance note with screenshots/recording, or rejection note with issue list.","Remains HUMAN_REQUIRED until JiYong/Tars records explicit acceptance; blocks product-alpha human UX acceptance claim.","Human","HUMAN_REQUIRED"
