feature_area,feature_family,required_command_group,example_required_commands,cli_required,release_block_if_missing,required_refs,minimum_verification
Product,health_ready_version,cornerstone health|ready|version,"cornerstone health --json; cornerstone ready --json; cornerstone version --json",true,true,audit_if_stateful,CLI transcript exit 0
Product,onboarding_mission_control,cornerstone scenario|workspace|brief|claim|action,"cornerstone scenario verify CS-PROD-004 --json",true,true,evidence_refs/audit_refs,First-value CLI fixture
Auth,login_logout_whoami_config,cornerstone login|logout|whoami|config|profile,"cornerstone whoami --json; cornerstone config list --json",true,true,audit_refs,Auth/config CLI fixture
Tenant,tenants_principals_memberships,cornerstone tenant|principal|membership,"cornerstone tenant list --json; cornerstone membership list --tenant <id> --json",true,true,audit_refs,Access-control CLI fixture
Namespace,namespace_workspace_scope,cornerstone namespace|workspace,"cornerstone workspace current --json; cornerstone namespace promote --dry-run --json",true,true,provenance_refs/audit_refs,Cross-namespace CLI fixture
Archive,artifact_ingestion,cornerstone artifact,"cornerstone artifact ingest <path> --json; cornerstone artifact show <artifact_id> --json; cornerstone artifact download <artifact_id> --output <path> --json",true,true,artifact_id/checksum_sha256/evidence_refs/audit_refs,Binary round-trip plus no-overwrite force and error fixture
Archive,derived_representations,cornerstone derived|artifact,"cornerstone artifact derived <artifact_id> --json; cornerstone derived reprocess <id> --dry-run --json",true,true,artifact_id/derived_id/audit_refs,Derived failure/reprocess fixture
Archive,redaction_classification,cornerstone redaction|classification|artifact,"cornerstone artifact classify <id> --json; cornerstone redaction test <fixture> --json",true,true,policy_decision_id/audit_refs,Secret fixture
Search,keyword_semantic_search,cornerstone search,"cornerstone search run \"query\" --workspace <id> --json",true,true,search_snapshot_id/evidence_refs,Keyword/semantic fixture
Search,search_snapshots,cornerstone search snapshot,"cornerstone search snapshot show <snapshot_id> --json",true,true,search_snapshot_id/audit_refs,Snapshot replay fixture
Understanding,entity_link_suggestions,cornerstone understand|entity|link,"cornerstone understand suggest <artifact_id> --json",true,true,evidence_refs,Draft suggestion fixture
Understanding,ontology_promotion,cornerstone ontology|entity|link,"cornerstone ontology promote <suggestion_id> --dry-run --json",true,true,evidence_refs/audit_refs,Promotion dry-run fixture
Understanding,contradictions_staleness,cornerstone contradiction|stale,"cornerstone contradiction list --workspace <id> --json; cornerstone stale check --json",true,true,evidence_refs,Contradiction/stale fixture
Evidence,evidence_bundles,cornerstone evidence,"cornerstone evidence create --from-search <snapshot_id> --json; cornerstone evidence show <id> --json",true,true,evidence_bundle_id/audit_refs,Evidence bundle fixture
Evidence,provenance_export,cornerstone provenance|evidence,"cornerstone evidence export <id> --format json; cornerstone provenance export <id> --format prov-n",true,true,provenance_refs,Export fixture
Brief,brief_generation,cornerstone brief,"cornerstone brief create --evidence <bundle_id> --json",true,true,brief_id/evidence_refs/audit_refs,Brief fixture
Claim,claim_lifecycle,cornerstone claim,"cornerstone claim create --brief <id> --json; cornerstone claim approve <id> --json",true,true,claim_id/evidence_refs/audit_refs,Claim trust-state fixture
Claim,knowledge_capsules_decisions,cornerstone capsule|decision,"cornerstone capsule create --from-claim <id> --json; cornerstone decision show <id> --json",true,true,evidence_refs/audit_refs,Capsule/decision fixture
Memory,personal_org_wiki_memory,cornerstone memory|wiki,"cornerstone memory propose --from-evidence <id> --json; cornerstone wiki show --workspace <id> --json",true,true,memory_id/evidence_refs/audit_refs,Memory fixture
Memory,correction_forget_export,cornerstone memory,"cornerstone memory correct <id> --json; cornerstone memory forget <id> --dry-run --json; cornerstone memory export --json",true,true,audit_refs,Memory sovereignty fixture
Mission,mission_contracts,cornerstone mission,"cornerstone mission create --from-claim <id> --json; cornerstone mission show <id> --json",true,true,mission_id/evidence_refs/audit_refs,Mission contract fixture
Autonomy,workspace_modes_autopilot,cornerstone mode|autopilot,"cornerstone mode set assist --workspace <id> --dry-run --json; cornerstone autopilot status --json",true,true,policy_decision_id/audit_refs,Mode/autopilot fixture
Action,action_cards,cornerstone action,"cornerstone action create --from-claim <id> --json; cornerstone action show <id> --json",true,true,action_id/evidence_refs/audit_refs,ActionCard fixture
Action,dry_run_approval_execution,cornerstone action|approval,"cornerstone action dry-run <id> --json; cornerstone action approve <id> --json; cornerstone action execute <id> --json",true,true,policy_decision_id/audit_refs,Action lifecycle fixture
Workflow,workflow_runs,cornerstone workflow,"cornerstone workflow run <workflow_id> --dry-run --json; cornerstone workflow show <run_id> --json",true,true,workflow_run_id/audit_refs,Workflow fixture
Policy,policy_evaluation,cornerstone policy,"cornerstone policy evaluate --input <file> --json",true,true,policy_decision_id/audit_refs,Policy matrix fixture
Security,access_egress_sandbox,cornerstone access|egress|sandbox,"cornerstone access check --subject <id> --object <id> --json; cornerstone egress test --json",true,true,policy_decision_id/audit_refs,Security fixture
Audit,audit_query_verify_export,cornerstone audit,"cornerstone audit list --workspace <id> --json; cornerstone audit verify --json; cornerstone audit export --json",true,true,audit_event_id/audit_checkpoint_id,Audit tamper fixture
Connector,connector_capabilities,cornerstone connector|capability,"cornerstone connector list --json; cornerstone capability show <id> --json",true,true,connector_capability_id/audit_refs,Connector fixture
Connector,provider_actions,cornerstone connector|action,"cornerstone connector action dry-run <capability_id> --json",true,true,policy_decision_id/audit_refs,Connector dry-run fixture
Agent,orchestrator_roles,cornerstone agent|role,"cornerstone agent list --json; cornerstone role show <role_id> --json",true,true,agent_role_contract_id/audit_refs,Agent role fixture
Agent,agent_replay_diagnosis,cornerstone agent,"cornerstone agent replay <run_id> --json; cornerstone agent diagnose <run_id> --json",true,true,model_run_id/audit_refs,Agent replay fixture
Model,brain_router_judge,cornerstone model|brain|judge,"cornerstone model list --json; cornerstone brain route --task <file> --dry-run --json; cornerstone judge run <id> --json",true,true,model_run_id/judge_record_id/audit_refs,Model routing fixture
Learning,trajectory_experience_lessons,cornerstone trajectory|experience|lesson,"cornerstone trajectory show <mission_id> --json; cornerstone lesson propose --from-trajectory <id> --json",true,true,experience_record_id/audit_refs,Learning fixture
Extension,pack_registry_install_activation,cornerstone pack|registry|tool,"cornerstone pack list --json; cornerstone pack install <id> --dry-run --json; cornerstone pack activate <id> --json",true,true,policy_decision_id/audit_refs,Pack fixture
Extension,pack_update_rollback_certification,cornerstone pack,"cornerstone pack update <id> --dry-run --json; cornerstone pack rollback <id> --json; cornerstone pack certify <id> --json",true,true,attestation_refs/audit_refs,Pack supply-chain fixture
Ops,backup_restore_observability,cornerstone backup|restore|observe,"cornerstone backup create --json; cornerstone restore verify <backup_id> --json; cornerstone observe status --json",true,true,audit_refs,Backup/restore fixture
Scenario,scenario_status_verify_report,cornerstone scenario,"cornerstone scenario status --json; cornerstone scenario verify <id> --json; cornerstone scenario report --format markdown",true,true,scenario_evidence_refs,Scenario report fixture
Release,release_readiness,cornerstone release,"cornerstone release readiness --scenario-backlog docs/scenario-contracts/SCENARIO_BACKLOG.csv --json",true,true,release_report_refs,Release rollup fixture
