scenario_id,type,local_required,verification_class,verification_owner,verification_command,evidence_artifact,human_required_reason,required_human_action,expected_human_evidence,release_impact,status
VS0-UI-001,MUST_PASS,true,STEP_BY_STEP_OPERATOR_FLOW,AI,cornerstone scenario verify vs0-operator-acceptance-ui --json,reports/scenario/vs0-operator-acceptance-ui-2026-06-14.json,,,,,PASS
VS0-UI-002,MUST_PASS,true,ARTIFACT_STEP_DETAILS,AI,cornerstone scenario verify vs0-operator-acceptance-ui --json,reports/scenario/vs0-operator-acceptance-ui-2026-06-14.json,,,,,PASS
VS0-UI-003,MUST_PASS,true,SEARCH_STEP_SNAPSHOT,AI,cornerstone scenario verify vs0-operator-acceptance-ui --json,reports/scenario/vs0-operator-acceptance-ui-2026-06-14.json,,,,,PASS
VS0-UI-004,MUST_PASS,true,EVIDENCE_SUPPORT_AND_INSUFFICIENCY,AI,cornerstone scenario verify vs0-operator-acceptance-ui --json,reports/scenario/vs0-operator-acceptance-ui-2026-06-14.json,,,,,PASS
VS0-UI-005,MUST_PASS,true,CLAIM_STATE_VISIBILITY,AI,cornerstone scenario verify vs0-operator-acceptance-ui --json,reports/scenario/vs0-operator-acceptance-ui-2026-06-14.json,,,,,PASS
VS0-UI-006,MUST_PASS,true,ZERO_EVIDENCE_APPROVAL_DENIAL,AI,cornerstone scenario verify vs0-operator-acceptance-ui --json,reports/scenario/vs0-operator-acceptance-ui-2026-06-14.json,,,,,PASS
VS0-UI-007,MUST_PASS,true,ACTION_CARD_OPERATOR_REVIEW,AI,cornerstone scenario verify vs0-operator-acceptance-ui --json,reports/scenario/vs0-operator-acceptance-ui-2026-06-14.json,,,,,PASS
VS0-UI-008,MUST_PASS,true,LOCAL_MOCK_EXECUTION_BOUNDARY,AI,cornerstone scenario verify vs0-operator-acceptance-ui --json,reports/scenario/vs0-operator-acceptance-ui-2026-06-14.json,,,,,PASS
VS0-UI-009,MUST_PASS,true,AUDIT_TIMELINE_AND_VERIFY,AI,cornerstone scenario verify vs0-operator-acceptance-ui --json,reports/scenario/vs0-operator-acceptance-ui-2026-06-14.json,,,,,PASS
VS0-UI-010,MUST_PASS,true,LOCAL_ONLY_OVERCLAIM_GUARD,AI,cornerstone scenario verify vs0-operator-acceptance-ui --json,reports/scenario/vs0-operator-acceptance-ui-2026-06-14.json,,,,,PASS
VS0-UI-R01,REGRESSION_GUARD,true,EXISTING_EVUX_GOVERNANCE,AI,cornerstone scenario verify vs0-operator-acceptance-ui --json,reports/scenario/vs0-operator-acceptance-ui-2026-06-14.json,,,,,PASS
VS0-UI-R02,REGRESSION_GUARD,true,BROWSER_TIMEOUT_STATUS,AI,cornerstone scenario verify vs0-operator-acceptance-ui --json,reports/scenario/vs0-operator-acceptance-ui-2026-06-14.json,,,,,PASS
VS0-UI-H01,HUMAN_REQUIRED,false,OPERATOR_UX_ACCEPTANCE,Human,,docs/scenario-contracts/VS0_OPERATOR_ACCEPTANCE_UI_GATE_CONTRACT.md,Human operator acceptance requires subjective JiYong Tars judgment.,JiYong or Tars completes UI walkthrough and records accept or reject.,Acceptance note with screenshots or recording or rejection issue list.,Blocks full VS1 main implementation and operator accepted VS0 claim not AI verifiable EVUX governance.,HUMAN_REQUIRED
