scenario_id,type,scenario_name,local_required,verification_class,verification_owner,verification_command,evidence_artifact,human_required_reason,required_human_action,expected_human_evidence,release_impact,status
VS1-ONT-001,MUST_PASS,Start from search or artifact not modeling,true,UX_ENTRYPOINT,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-001 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-002,MUST_PASS,Built-in universal ontology seed is available,true,UNIVERSAL_ONTOLOGY_SEED,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-002 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-003,MUST_PASS,Generate a complete suggestion set from evidence,true,SUGGESTION_SET_GENERATION,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-003 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-004,MUST_PASS,Object suggestions are explainable,true,OBJECT_SUGGESTION_EXPLAINABILITY,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-004 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-005,MUST_PASS,Property suggestions are explainable,true,PROPERTY_SUGGESTION_EXPLAINABILITY,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-005 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-006,MUST_PASS,Link suggestions are explainable,true,LINK_SUGGESTION_EXPLAINABILITY,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-006 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-007,MUST_PASS,Suggestions expose evidence gaps and uncertainty,true,EVIDENCE_GAP_VISIBILITY,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-007 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-008,MUST_PASS,User can review select reject or defer suggestions,true,USER_REVIEW_CONTROL,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-008 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-009,MUST_PASS,Unpromoted suggestions cannot become ontology truth,true,DRAFT_TRUTH_BOUNDARY,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-009 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-010,MUST_PASS,Promotion is explicit and user-controlled,true,PROMOTION_CONTROL,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-010 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
