scenario_id,priority,related_requirements,given,when,then,implementation_area,verification,evidence,initial_status
VS2-SEC-001,MUST_PASS,"ER-04, ER-05, ER-10; IR-01","The same authenticated principal, tenant, namespace, resource, and action are available through CLI, API, and UI.",The operation is submitted through each surface.,"All surfaces derive the same trusted request context, receive the same policy outcome and stable error semantics, and emit linked policy/audit references.","Shared RequestContext, policy client, CLI adapter, API middleware, UI error mapping.",Automated CLI/API/browser integration test using one fixture principal and normalized input comparison.,"Three transcripts, normalized request-context digest, matching decision outcome/revision, exit/status codes, audit references.",NOT_RUN
VS2-SEC-002,MUST_PASS,"ER-01, ER-04; IR-01","A caller is authenticated for tenant A and supplies tenant B, owner, role, or classification values in a header, body, query, or CLI flag.","The caller invokes a protected read, write, policy, tool, or action operation.","Authoritative scope comes only from trusted identity/membership state; forged attributes are ignored or rejected, tenant B is not accessed, and the attempt is audited.","Identity-to-scope resolver, input allowlist, anti-confused-deputy validation.",Parameterized API/CLI tests for every client-controlled scope field and direct service invocation.,"Denied response, zero tenant-B rows/objects, policy decision, audit event, negative-evidence counters.",NOT_RUN
VS2-SEC-003,MUST_PASS,"ER-01, ER-02, ER-03; IR-01, IR-06","A protected request has missing, malformed, expired, conflicting, or unresolvable principal/tenant context.","The request reaches the gateway, service, worker, or tool entry point.","The system fails closed before protected database access or egress, returns a stable helpful error, and records no secret-bearing input.","Request validation, principal resolver, policy fallback, worker/tool guards.","Unit and integration matrix for null, empty, malformed, expired, and conflicting context.","Stable error codes, zero DB/egress calls, sanitized policy/audit records.",NOT_RUN
VS2-SEC-004,MUST_PASS,"ER-01, ER-09; IR-03, IR-04","A truth-bearing object is created or migrated: Artifact, DerivedRepresentation, SearchSnapshot, EvidenceBundle, Claim, ontology object/link, ActionCard, WorkflowRun, PolicyDecision, or AuditEvent.",The object is persisted.,"Required tenant_id, namespace_id, owner_id, and applicable workspace/classification fields are non-null, validated, immutable where required, and visible in API/CLI evidence.","Domain models, database constraints, serializer validation, migration checks.",Schema tests plus create/read tests for every active durable object type.,"Schema inventory, constraint output, representative rows/API payloads, failed-null inserts.",NOT_RUN
VS2-SEC-005,MUST_PASS,"ER-04, ER-05; IR-07","A principal's membership, role, attribute, capability, or workspace access is revoked.","The principal repeats a previously allowed request, including through a cached session or long-running worker.",The new request is denied within the documented revocation window; stale authorization state cannot preserve access.,"Membership store, token/session versioning, policy cache invalidation, worker lease checks.","Integration test with allow → revoke → retry across API, CLI, service, and worker paths.","Before/after decisions, cache revision/expiry, denial audit, zero post-revocation access.",NOT_RUN
VS2-SEC-006,MUST_PASS,"ER-02, ER-06, ER-07; IR-06",Any protected operation is evaluated.,OPA and the CornerStone policy adapter return a result.,"A canonical PolicyDecision records allow/deny/escalate, reason codes, safe resolution guidance, policy path, bundle revision/hash, decision_id, input digest, timestamps, tenant/namespace, and evidence/audit refs.","PolicyDecision schema, OPA result adapter, persistence, redaction.","Schema contract tests and golden JSON tests for allow, deny, escalate, undefined, and error results.","PolicyDecision JSON fixtures, OPA decision_id/revision, audit linkage, redaction proof.",NOT_RUN
VS2-SEC-007,MUST_PASS,"ER-01, ER-09; IR-02, IR-03",Tenant A and tenant B each have rows in every active tenant-bearing table.,The application database role executes SELECT as tenant A.,Only tenant-A rows are visible; tenant-B rows and existence metadata are absent.,"Postgres RLS policies, transaction-local tenant context, repository adapters.",Database integration matrix across every RLS table using the real application role.,"SQL transcript, row counts, pg_policies inventory, zero tenant-B identifiers.",NOT_RUN
VS2-SEC-008,MUST_PASS,ER-01; IR-03,The application role is scoped to tenant A.,"It attempts INSERT with tenant B, UPDATE a row into tenant B, or DELETE tenant-B data.",INSERT/UPDATE are rejected by WITH CHECK or equivalent; cross-tenant DELETE affects zero rows or is denied; no partial mutation occurs.,"Command-specific RLS policies, immutable tenant key constraints, transaction handling.","Database tests for INSERT/UPDATE/DELETE, including bulk statements and RETURNING.","SQLSTATE/neutral API error, unchanged before/after snapshots, rollback evidence, audit event.",NOT_RUN
VS2-SEC-009,MUST_PASS,"ER-01; IR-03, IR-10","Tenant A queries tables containing tenant-B data through joins, subqueries, aggregates, counts, groupings, existence checks, and pagination.",The query is executed through supported repository and API paths.,"Results, counts, cursors, totals, and timing/error text do not reveal tenant-B data or existence.","RLS-safe queries, tenant-scoped pagination/cursors, neutral errors.",Parameterized SQL/API integration tests including empty-result and boundary-page cases.,"Result snapshots, count/cursor assertions, no foreign IDs, sanitized errors.",NOT_RUN
VS2-SEC-010,MUST_PASS,"ER-01, ER-09; IR-05","FTS, vector/semantic search, ontology search, autocomplete, and saved search snapshots contain content from two tenants.",Tenant A searches using terms unique to tenant B.,"No tenant-B result, snippet, score, suggestion, facet count, object, or snapshot reference is returned.","Tenant-bearing search tables/indexes, RLS-safe search queries, tenant-scoped embeddings/cache.",End-to-end search tests with unique canary terms in each tenant.,"Search/API transcripts, query plans or SQL trace, zero canary leakage, snapshot scope.",NOT_RUN
