scenario_id,type,local_required,verification_class,verification_owner,verification_command,evidence_artifact,human_required_reason,required_human_action,expected_human_evidence,release_impact,status
VS0-RT-001,MUST_PASS,true,CLI+API+UI+READY,AI,cornerstone scenario verify vs0-product-runtime --json,reports/scenario/vs0-product-runtime-2026-06-11.json,,,,,PASS
VS0-RT-002,MUST_PASS,true,CLI+API+UI+ARTIFACT+AUDIT,AI,cornerstone scenario verify vs0-product-runtime --json,reports/scenario/vs0-product-runtime-2026-06-11.json,,,,,PASS
VS0-RT-003,MUST_PASS,true,CLI+API+UI+SEARCH+EVIDENCE,AI,cornerstone scenario verify vs0-product-runtime --json,reports/scenario/vs0-product-runtime-2026-06-11.json,,,,,PASS
VS0-RT-004,MUST_PASS,true,CLI+API+UI+CLAIM+EVIDENCE,AI,cornerstone scenario verify vs0-product-runtime --json,reports/scenario/vs0-product-runtime-2026-06-11.json,,,,,PASS
VS0-RT-005,MUST_PASS,true,CLI+API+UI+ACTION+POLICY,AI,cornerstone scenario verify vs0-product-runtime --json,reports/scenario/vs0-product-runtime-2026-06-11.json,,,,,PASS
VS0-RT-006,MUST_PASS,true,CLI+API+WORKFLOW+ACTION+AUDIT,AI,cornerstone scenario verify vs0-product-runtime --json,reports/scenario/vs0-product-runtime-2026-06-11.json,,,,,PASS
VS0-RT-007,MUST_PASS,true,CLI+API+AUDIT,AI,cornerstone scenario verify vs0-product-runtime --json,reports/scenario/vs0-product-runtime-2026-06-11.json,,,,,PASS
VS0-RT-008,MUST_PASS,true,UI+CLI+DESIGN,AI,cornerstone scenario verify vs0-product-runtime --json,reports/scenario/vs0-product-runtime-2026-06-11.json,,,,,PASS
VS0-RT-R01,REGRESSION_GUARD,true,SECURITY+PROMPT_INJECTION+EGRESS,AI,cornerstone scenario verify vs0-product-runtime --scenario VS0-RT-R01 --json,reports/scenario/vs0-product-runtime-2026-06-11.json,,,,,PASS
VS0-RT-R02,REGRESSION_GUARD,true,NAMESPACE+POLICY+AUDIT,AI,cornerstone scenario verify vs0-product-runtime --scenario VS0-RT-R02 --json,reports/scenario/vs0-product-runtime-2026-06-11.json,,,,,PASS
VS0-RT-R03,REGRESSION_GUARD,true,CLAIM+EVIDENCE+TRUST_STATE,AI,cornerstone scenario verify vs0-product-runtime --scenario VS0-RT-R03 --json,reports/scenario/vs0-product-runtime-2026-06-11.json,,,,,PASS
VS0-RT-R04,REGRESSION_GUARD,true,READY+RELEASE+OVERCLAIM,AI,cornerstone scenario verify vs0-product-runtime --scenario VS0-RT-R04 --json,reports/scenario/vs0-product-runtime-2026-06-11.json,,,,,PASS
VS0-RT-H01,HUMAN_REQUIRED,false,LIVE_CONNECTOR+PROVIDER,Human,,docs/verification-reports/VS0_PRODUCT_RUNTIME_READINESS_REPORT_2026-06-11.md,Live connector/provider verification needs credentials and may mutate third-party state.,Approve and perform live ConnectorHub/provider dry-run/execution later.,Redacted transcript provider/action result audit refs and written approval.,Blocks live-provider production release not local VS0 runtime PASS.,HUMAN_REQUIRED
VS0-RT-H02,HUMAN_REQUIRED,false,UX_ACCEPTANCE,Human,,docs/verification-reports/VS0_PRODUCT_RUNTIME_READINESS_REPORT_2026-06-11.md,Usability acceptance is subjective.,Human operator walks through VS0 runtime and confirms the loop is understandable/useful.,Acceptance note plus screenshots/recording or issue list.,Blocks product acceptance claim not deterministic local runtime checks.,HUMAN_REQUIRED
