scenario_id,type,local_required,verification_class,verification_owner,verification_command,evidence_artifact,human_required_reason,required_human_action,expected_human_evidence,release_impact,status
VS0-EVUX-001,MUST_PASS,true,UI+ARTIFACT+AUDIT,AI,cornerstone scenario verify vs0-evux --scenario VS0-EVUX-001 --json,reports/scenario/vs0-evux-2026-06-13.json,,,,,PASS
VS0-EVUX-002,MUST_PASS,true,UI+SEARCH+EVIDENCE,AI,cornerstone scenario verify vs0-evux --scenario VS0-EVUX-002 --json,reports/scenario/vs0-evux-2026-06-13.json,,,,,PASS
VS0-EVUX-003,MUST_PASS,true,UI+CLAIM+EVIDENCE_BUNDLE,AI,cornerstone scenario verify vs0-evux --scenario VS0-EVUX-003 --json,reports/scenario/vs0-evux-2026-06-13.json,,,,,PASS
VS0-EVUX-004,MUST_PASS,true,UI+CLAIM_POLICY+NEGATIVE_TEST,AI,cornerstone scenario verify vs0-evux --scenario VS0-EVUX-004 --json,reports/scenario/vs0-evux-2026-06-13.json,,,,,PASS
VS0-EVUX-005,MUST_PASS,true,UI+ACTION_CARD+POLICY,AI,cornerstone scenario verify vs0-evux --scenario VS0-EVUX-005 --json,reports/scenario/vs0-evux-2026-06-13.json,,,,,PASS
VS0-EVUX-006,MUST_PASS,true,UI+MOCK_ACTION+NEGATIVE_EGRESS,AI,cornerstone scenario verify vs0-evux --scenario VS0-EVUX-006 --json,reports/scenario/vs0-evux-2026-06-13.json,,,,,PASS
VS0-EVUX-007,MUST_PASS,true,UI+AUDIT_VERIFY,AI,cornerstone scenario verify vs0-evux --scenario VS0-EVUX-007 --json,reports/scenario/vs0-evux-2026-06-13.json,,,,,PASS
VS0-EVUX-008,MUST_PASS,true,RELEASE_EVIDENCE+COMMIT_TREE,AI,cornerstone release evidence collect --scope vs0-evux --json,reports/release/vs0-evux-2026-06-13/manifest.json,,,,,PASS
VS0-EVUX-R01,REGRESSION_GUARD,true,UI_WORKFLOW_NOT_STATIC_LABELS,AI,cornerstone scenario verify vs0-evux --scenario VS0-EVUX-R01 --json,reports/scenario/vs0-evux-2026-06-13.json,,,,,PASS
VS0-EVUX-R02,REGRESSION_GUARD,true,QUICKSTART_EXECUTABLE,AI,cornerstone quickstart verify vs0-evux --json --output reports/quickstart/vs0-evux-quickstart.json,reports/quickstart/vs0-evux-quickstart.json,,,,,PASS
VS0-EVUX-R03,REGRESSION_GUARD,true,REGRESSION_COMMAND_TRANSCRIPT,AI,make verify-local-fast && make verify-vs0-runtime && make verify-vs0-acceptance && make verify-vs0-evux,reports/release/vs0-evux-2026-06-13/command-transcript.json,,,,,PASS
VS0-EVUX-R04,REGRESSION_GUARD,true,BROWSER_TIMEOUT_STATUS,AI,cornerstone scenario verify vs0-evux --scenario VS0-EVUX-R04 --json,reports/browser/vs0-evux-2026-06-13/browser-proof.json,,,,,PASS
VS0-EVUX-H01,HUMAN_REQUIRED,false,UX_ACCEPTANCE,Human,,reports/release/vs0-evux-2026-06-13/human-usability-walkthrough.md,Human usability cannot be judged by automated tests.,JiYong or Tars completes UI walkthrough and records accept or reject.,Acceptance note plus screenshots or recording or issue list.,Blocks operator-accepted product claim not AI-verifiable local gate.,HUMAN_REQUIRED
VS0-EVUX-H02,HUMAN_REQUIRED,false,LIVE_CONNECTOR+PROVIDER,Human,,reports/release/vs0-evux-2026-06-13/manifest.json,Live provider proof requires credentials and external state.,Human approves and runs live ConnectorHub provider test later.,Redacted provider transcript approval execution result and audit refs.,Blocks live-provider production release not local EVUX proof.,HUMAN_REQUIRED
