id,type,title,section,must_pass_outcome,verification_evidence
CS-PROD-001,MUST_PASS,One coherent CornerStone service,4. Product Identity and First Value Scenarios,"The product presents a single CornerStone experience. Archive/evidence, connector/action, and intelligence/mission capabilities may have clear internal boundaries, but daily users do not need to understand repository or subsystem boundaries to get value.","First-run UI or product walkthrough showing one service, one navigation model, and clear capability language."
CS-PROD-002,MUST_PASS,Evidence-first operational identity,4. Product Identity and First Value Scenarios,"The product behaves like an evidence-first operational intelligence platform: it preserves information, produces evidence-backed understanding, supports claims, and can lead toward action and learning. It must not feel like only a chatbot, file search app, connector framework, or automation script runner.","End-to-end demo transcript or test walkthrough showing evidence, claim, action, and learning surfaces."
CS-PROD-003,MUST_PASS,"General-purpose use, not logistics-only",4. Product Identity and First Value Scenarios,"The same core loop works without requiring a logistics-specific model. Solution packs may specialize workflows, but the universal core remains domain-agnostic.","Fixture runs or demos across at least three domains using the same artifact, search, claim, mission, and evidence concepts."
CS-PROD-004,MUST_PASS,First value within 10 minutes,4. Product Identity and First Value Scenarios,"Within the first-use flow, CornerStone produces an evidence-backed brief, shows uncertainty or evidence gaps, and offers a next step such as draft claim, save capsule, or open mission.",Timed local/onboarding scenario or recorded UI flow using fixture input.
CS-PROD-005,MUST_PASS,Onboarding guide for first use,4. Product Identity and First Value Scenarios,"The product guides the user through the first useful path: personal messy input → evidence-backed brief → draft claim or saved capsule. The user is not forced to configure connectors, model providers, ontology, or organization policies before seeing value.","Onboarding flow screenshot, browser walkthrough, or E2E test."
CS-PROD-006,MUST_PASS,Mission Control as primary surface,4. Product Identity and First Value Scenarios,"The primary surface acts as Ops Inbox / Mission Control: pending briefs, evidence gaps, missions, tasks, approvals, recommended actions, memory changes, and learning opportunities are visible in one operational surface.","UI walkthrough populated with fixture missions, pending approvals, memory updates, and action cards."
CS-PROD-007,MUST_PASS,Main loop is visible,4. Product Identity and First Value Scenarios,The user can see the product journey: Inbox → Brief → Claim → Action → Learn. Each stage is visible enough that the user understands where the item is in the loop.,Product walkthrough showing a single item progressing through all stages.
CS-PROD-008,MUST_PASS,Product explains its own boundaries,4. Product Identity and First Value Scenarios,"The product explains that source systems remain systems of record where appropriate, while CornerStone is the intelligence, evidence, mission, action-control, and learning layer over them.","Product copy, help page, onboarding card, or admin boundary view."
CS-PROD-009,MUST_PASS,Personal-first adoption without losing organization path,4. Product Identity and First Value Scenarios,"The user can begin in a personal workspace and later promote selected evidence, claims, capsules, or missions into a shared namespace with provenance and governance.",Walkthrough showing private use followed by explicit promotion into organization context.
CS-PROD-010,MUST_PASS,Product remains understandable despite complexity,4. Product Identity and First Value Scenarios,"The user can complete first value and basic mission work through plain product language: workspace, memory, evidence, brief, claim, mission, action, approval, and learn. Advanced governance remains available but not mandatory for the first experience.",Usability review or guided task completion with no admin setup beyond defaults.
CS-ARCH-001,MUST_PASS,Preserve original before processing,"5. Artifact, Archive, and Evidence Foundation Scenarios","CornerStone preserves the original input as an immutable artifact before attempting extraction, summarization, embedding, normalization, or ontology mapping.","Stored artifact record with stable ID, checksum/hash, source, timestamp, and original storage reference."
CS-ARCH-002,MUST_PASS,Derived processing failure does not lose input,"5. Artifact, Archive, and Evidence Foundation Scenarios",The original artifact remains stored and discoverable with a partial/failed derived-processing status. The user sees a helpful explanation and can retry or reprocess later.,Fixture with intentionally failing derived processor; original remains accessible.
CS-ARCH-003,MUST_PASS,Stable identity and deduplication,"5. Artifact, Archive, and Evidence Foundation Scenarios",CornerStone recognizes unchanged content through stable identifiers or hashes and avoids creating conflicting duplicate truth. Changed content is versioned or recorded as a distinct artifact with lineage.,Re-ingestion test showing same ID for identical content or explicit version/link for changed content.
CS-ARCH-004,MUST_PASS,Provenance is always attached,"5. Artifact, Archive, and Evidence Foundation Scenarios","The user can inspect where it came from, when it was created or ingested, what transformed it, and which source or connector produced it.","Provenance panel, API response, or exported evidence bundle."
CS-ARCH-005,MUST_PASS,Unknown input is still archived,"5. Artifact, Archive, and Evidence Foundation Scenarios","CornerStone still stores the immutable original, marks the format/derived state accurately, and allows later parser support without requiring re-upload from the user.",Unknown-format fixture with preserved original and deferred processing status.
CS-ARCH-006,MUST_PASS,Redaction before durable generated knowledge,"5. Artifact, Archive, and Evidence Foundation Scenarios","Secrets are redacted before generated drafts, memory entries, evidence summaries, logs, screenshots, or reports persist or display them unnecessarily. Raw original access remains controlled by policy.",Secret-containing fixture; generated outputs and logs show redacted values.
