scenario_id,priority,phase,related_requirements,given,when,then,implementation_area,verification,evidence,pass_fail_criteria,owner,initial_status
"VS3-GATE-001","MUST_PASS","VS3-0","CS-SEC-019; CS-SEC-020; CS-REG-020","A reviewer compares all VS2 final/current reports and scenario JSON artifacts.","The VS3 evidence reconciliation runs.","One canonical current status exists; conflicting VS2 claims are rejected, superseded, or reconciled with exact report paths and hashes.","Evidence reconciliation; release report lint","Run VS3 evidence reconciliation; inspect VS2 JSON summaries; lint claim strings.","Reconciliation JSON, report hashes, rejected/superseded artifact list, final product claim string.","PASS only if one canonical status remains and no report can be used to claim broader readiness; FAIL if contradictory PASS/NOT_VERIFIED signals remain unclassified.","AI","NOT_RUN"
"VS3-GATE-002","MUST_PASS","VS3-0","CS-SEC-019; CS-REG-020","VS3 contract and matrix are frozen.","Documentation verification runs.","Markdown and CSV exist, row counts match, and every row has expected behavior, verification, evidence, pass/fail criteria, owner, and initial status.","Scenario contract; matrix","Run docs verifier and matrix structural checks.","scripts/verify_sot_docs.sh, matrix row-count output, duplicate-ID check.","PASS only if matrix and contract are internally consistent; FAIL on duplicate IDs, missing criteria, or status-bearing contract claims.","AI","NOT_RUN"
"VS3-GATE-003","MUST_PASS","VS3-0","CS-SEC-011; CS-SEC-019; CS-SEC-020","A VS3 local/dev report is generated.","Static report lint runs over changed docs, reports, README, and UI copy.","Report distinguishes VS3-L local/dev assurance from VS3-P production/on-prem candidate and cannot overclaim real IdP, live provider, real network, migration, or human acceptance.","Report lint; claim vocabulary guard","Run static report lint over docs, reports, README, and UI copy touched by VS3.","Overclaim lint report, negative evidence counters, reviewed allowlist if any.","PASS only if forbidden overclaim strings are absent or explicitly historical; FAIL if local proof is described as production/on-prem/live readiness.","AI","NOT_RUN"
"VS3-GATE-004","MUST_PASS","VS3-0","CS-CLI-001; CS-CLI-009; CS-SEC-019","A VS3 verifier or Make target is introduced.","The verifier dry-run/list/coverage path is executed.","cornerstone scenario verify vs3-onprem-trusted-extension --json emits status, counts, per-row evidence, human rows, and gate metadata.","Native scenario verifier","Execute dry-run/list/coverage path before full implementation; validate JSON schema.","CLI transcript, JSON schema validation, coverage matrix.","PASS only if CLI is native and status-neutral before implementation; FAIL if raw scripts replace CLI parity.","AI","NOT_RUN"
"VS3-CTX-001","MUST_PASS","VS3-1","CS-NS-001; CS-SEC-004; VS2-SEC-001","CLI, API, UI, worker, and tool runtime receive the same operation.","The operation is submitted through each surface.","All surfaces derive RequestContext from trusted identity/membership and produce matching context digests and policy outcomes.","TrustedPrincipal; MembershipSnapshot; RequestContext","Run normalized fixture across all surfaces.","CLI/API/UI/worker/tool transcripts, context digest, policy decision ID, audit refs.","PASS only if no surface accepts caller-controlled scope; FAIL on digest mismatch or missing audit refs.","AI","NOT_RUN"
"VS3-CTX-002","MUST_PASS","VS3-1","CS-SEC-004; CS-REG-013; VS2-SEC-002","Caller supplies forged tenant, owner, namespace, role, classification, egress, connector, or tool grant.","Caller invokes protected read, write, policy, tool, connector, model, or action operation.","Forged fields are ignored or denied before protected DB access, egress, connector call, or tool execution.","Scope resolver; anti-forgery validation","Parameterized negative tests for each field and entry point.","Denied responses, zero protected DB rows touched, zero egress, policy/audit refs.","PASS only if every forged-authority path is denied or neutralized; FAIL if any forged value influences authority.","AI","NOT_RUN"
"VS3-CTX-003","MUST_PASS","VS3-1","CS-AUTO-013; CS-EXT-007; VS2-SEC-005","Membership or activation grant is revoked after a prior allow.","The principal retries through cached session, worker, or tool runtime.","New requests deny within the documented revocation window, including cached sessions, workers, and tool runtimes.","Membership store; grant revocation; cache invalidation","Allow -> revoke -> retry test across API, CLI, worker, and pack/tool path.","Before/after decision revisions, cache invalidation record, denial audit, zero post-revocation side effects.","PASS only if stale allow cannot produce data access or side effects; FAIL on stale success beyond documented bound.","AI","NOT_RUN"
"VS3-CTX-004","MUST_PASS","VS3-1","CS-SEC-004; CS-SEC-013; VS2-SEC-003","RequestContext is missing, malformed, expired, conflicted, or unresolvable.","Protected operation reaches gateway, service, worker, CLI, or tool entry point.","Protected operations fail closed with helpful redacted errors and no downstream DB/egress/tool/provider access.","Request validation; fail-closed guard","Fault matrix over gateway, service, worker, CLI, and tool entry points.","Stable exit/status codes, zero downstream counters, sanitized logs, audit refs.","PASS only if no protected boundary is reached; FAIL if any path falls back open.","AI","NOT_RUN"
"VS3-CTX-005","MUST_PASS","VS3-1","CS-NS-003; CS-AUTO-004; CS-AUTO-020","Mission/workspace authority differs from tenant-level membership.","A principal uses memory, connector, model, tool, or action across same-tenant scopes.","Tenant membership alone is insufficient; mission/workspace policy controls memory, connector, model, tool, and action use.","Workspace policy; mission authority","Same-tenant personal/org/project fixture with allowed and denied operations.","Policy decisions, zero implicit context use, allowed promotion provenance, audit refs.","PASS only if namespace/workspace/mission scope is enforced above tenant RLS; FAIL on implicit cross-context use.","AI","NOT_RUN"
"VS3-RLS-001","MUST_PASS","VS3-2","CS-NS-001; CS-ARCH-010; VS2-SEC-004","Active VS0/VS1 durable object families are persisted.","Schema inventory and create/read tests run.","Required tenant, owner, namespace, workspace, classification, provenance, and audit fields exist and are non-null where required.","Postgres schema; domain objects","Schema inventory plus create/read/null-insert tests.","Schema report, failed-null insert transcript, representative API/CLI payloads.","PASS only if every active truth-bearing table is scoped; FAIL on ownerless global truth or nullable required scope.","AI","NOT_RUN"
